Episode,Score,Best,Total reward,End position
125,17.6605851642,21.3216459145,1483.48915379,"[ -4.80363326e-03  -2.74284751e+01   7.75734335e+01   5.74208424e+00
   1.53384372e-04   0.00000000e+00]"
126,17.6890168515,21.3216459145,1485.87741552,"[ -1.54521542e-02   2.67113169e+01   7.58680421e+01   1.22645202e+00
   3.73341047e-04   0.00000000e+00]"
127,17.6947609835,21.3216459145,1486.35992262,"[ -1.37291512e-02  -2.46759837e+01   7.79391448e+01   5.67352499e+00
   5.09965919e-04   0.00000000e+00]"
128,17.8043449253,21.3216459145,1495.56497372,"[ -4.59344115e-02  -1.86805394e+00   8.27382572e+01   5.86010251e+00
   1.44093158e-03   0.00000000e+00]"
129,17.6666844341,21.3216459145,1484.00149247,"[  4.44105187e-03  -2.79449153e+01   7.56493525e+01   5.38259021e+00
   3.45090788e-04   0.00000000e+00]"
130,16.7212049187,21.3216459145,1404.58121317,"[  3.00724243e-02   6.37494460e+01   4.92307043e+01   2.73693277e+00
   6.28140120e+00   0.00000000e+00]"
131,17.3613143312,21.3216459145,1458.35040382,"[  3.04481125e-02   4.37820067e+01   6.44087932e+01   1.37045257e+00
   6.28229944e+00   0.00000000e+00]"
132,17.6453026916,21.3216459145,1482.20542609,"[  9.90128797e-04  -2.96097803e+01   7.43259343e+01   5.18289192e+00
   1.58729444e-04   0.00000000e+00]"
133,17.6173424555,21.3216459145,1479.85676627,"[  4.08948767e-03   3.23707814e+01   7.26182855e+01   1.29878000e+00
   6.28293407e+00   0.00000000e+00]"
134,17.7367586039,21.3216459145,1489.88772273,"[ -6.04575566e-03  -1.84946481e+01   8.05453496e+01   3.00798915e-03
   2.74940602e-04   0.00000000e+00]"
135,17.0268230219,21.3216459145,1430.25313384,"[  1.32992121e-02   5.32379842e+01   5.96943852e+01   6.76015148e-01
   6.28264351e+00   0.00000000e+00]"
136,17.7699538524,21.3216459145,1492.6761236,"[  8.70482477e-03  -1.27209503e+01   8.27601775e+01   2.87367268e-01
   6.28300794e+00   0.00000000e+00]"
137,17.7877546003,21.3216459145,1494.17138643,"[  3.72007464e-03  -9.17538010e+00   8.20477302e+01   5.69321466e+00
   1.43236014e-04   0.00000000e+00]"
